Region;CPRO;NOMBRE
14;1;Álava/Araba
3;2;Albacete
8;3;Alicante
2;4;Almería
1;5;Ávila
5;6;Badajoz
17;7;Baleares
6;8;Barcelona/BCN
1;9;Burgos
5;10;Cáceres
2;11;Cádiz
8;12;Castellón
3;13;Ciudad Real
2;14;Córdoba
7;15;La Coruña/A coruña
3;16;Cuenca
6;17;Gerona/Girona
2;18;Granada
3;19;Guadalajara
14;20;Guipúzcoa/Gipuzkoa
2;21;Huelva
4;22;Huesca
2;23;Jaén
1;24;León
6;25;Lérida/Lleida
16;26;La Rioja
7;27;Lugo
12;28;Madrid
2;29;Málaga
9;30;Murcia
11;31;Navarra
7;32;Orense/Ourense
10;33;Asturias
1;34;Palencia
13;35;Las Palmas
7;36;Pontevedra
1;37;Salamanca
13;38;Santa Cruz de Tenerife/Tenerife
15;39;Cantabria
1;40;Segovia
2;41;Sevilla
1;42;Soria
6;43;Tarragona
4;44;Teruel
3;45;Toledo
8;46;Valencia
1;47;Valladolid
14;48;Vizcaya/Bizkaia
1;49;Zamora
4;50;Zaragoza
18;51;Ceuta
19;52;Melilla
